Satisfactory,Under k it s one of the best if not best m it days now major disappointment is battery drainage or rest it is like wat in camera is bit dull too r too ram good wid gaming only hour to charge good design smooth have lot to offer in just k m happy with phone if not
Reasonable phone,With ram memory inch display gorilla glass and other this is still one of the best we can buy Thanks Snap Deal for the product in time
superb phone,awesome amazing cool
Phone,Very Fast phone
,Very nice in this range than
Its Good,Its Good
Awesome phone,Better than note Gud speed gud sound but only the problem is no jack Otherwise overall phone is awesome Fast charging is one of the best feature User interface is attractive
Feedback after it for days,the phone is heating up very fast the battery is not lasting everything else are good
Good Product,good good good
Easy to use,Nice
good product,good product
,Good
Good phone,Nice phone at this price camera quality was good
Nice mobile excellent performance a c to budget courier service is also very good,Battery should be man then it will be perfect
A real,This phone is very good in all respect The battery life is good with the full charge it last up to day The speed is awesome and ram management is far good than other we got in this price segment Camera is especially rear is average but the the front camera is far better last but not the least it is one in all phone
Great mobile,great mobile with
Battery issue,Once again heating issue
,Battery is weak there is no head phone no and there is no user s guide Camera is good During head phone can not be used Display is good
Excellent Product,nice one
Very good product by,Very good camera good battery life very neat and nice
mobile,mobile is very good in all must buy item and prompt delivery by good experience
,Camera quality is very good battery is excellent
Product is great satisfied,Good service on given time
Nice this,Nice looking
Good quality,Battery life
Nice rather than battery problem,Battery is the problem rest all is notification is very poor no notification till we open the No pop up Phone book is not good should be like
Nice phone,Nice phone
Looking great,Nice phone more after use
A decent phone,Good design Good Little disappointed with camera A camera but picture quality is not as good as it should be My m note s camera can fail any of the similar phone s camera Overall a value for money product
NICE WORK,i am with your work
Worth every penny,Value for money budget phone
Value for money,First of all I would like to clarify some about the phone The piece that I got no Quality Control or any sound on hard press Second both of my are working fine no with the second card slot Third is working no heating and no signal reception The phone is amazing especially the premium look and great performance Memory management is appreciable since it always to have at least RAM free The charging speed is too good I usually charge it when battery level and it only to full charge Previously I thought the Rose Gold color will look girlish but it is not That color is actually giving a rich premium look to the phone The phone t get heat up even after heavy like Asphalt When I am in room or in the early morning the phone will be very cold and it is a pleasure to hold it It will make you feel cool If you are a camera enthusiast this phone will not be a good choice for you The camera is average may be good for this price range but not appreciable Personally I don t prefer charging and headphone at the same time since it is not good risk for both phone and user But you will miss two separate if you are a person who directly from a pen drive cable The free headset is good not exceptional or outstanding Got a flexible transparent back cover also free with the phone Battery life is better than I thought Easily I am getting more than one day battery life with average browsing and gaming The build quality and finishing is almost comparable with Apple I wonder how much profit Apple is making if one can produce a phone with that finishing for just thousand The color reproduction is accurate and display is so crisp and beautiful I it with my Note and found that color reproduction is much better in You can clearly notice the color difference while blue color like Due to the better can accommodate more in screen than There is no lag while watching k or heavy or opening numerous in Chrome The default launcher is avoidable there is nothing special in it And they the live s icon in the position of drawer button Many times I accidently on that icon Live is useless since very few are available Most of the available in are not present in their Live Infrared emitter is a pleasure to use with this one a receptor also So you can teach the phone to control equipment that are not in the in built list don t have this capability Overall I am completely satisfied with this mobile especially for its premium feel build quality and superb performance Any day I will choose this over since performance display memory management and premium build quality are my Got the first update v S after one week of purchase Now we can lock also fingerprint without the use of any party Design Build Quality Performance Display Fingerprint sensor Infrared blaster Memory Management Battery charging speed Sound Quality Battery life Free headset Camera Built in Android Overall Thanks for reading Please click Yes if you feel this review is helpful
Excellent Product,nice product
Excellent Product,Awesome quality I love
Value for money Mobile,First thing first This one is mobile and I must admit won my heart Though for every small issue I had to make in writing but the response I got from was exemplary This was the reason I went for replacement than getting refund despite being I have used the phone for few only and I can only say that this is value for money Display and camera is average Battery is good The best part is Snapdragon processor and RAM In this price one could not have more Once again thanks to for better treatment
awesome phone,Excellent phone great service in it reaching a day before
additional discount,in future suggest to give additional discount on Debit card of or other bank on payment of in advance
For,i am happy for delivery within delivery time
Excellent Product,good phone very good
Budget phone,Go for it best phone Some heating problem is there But overall it just awesome
It s a good buy,Very smooth to handle Charging is fast
By far The Best,You won t get any better G than this at least not around today Flawless performance Superb speed backed by mammoth RAM Absolutely no heating even on fast charge mode Elegant and premium and feel Very light weight Camera is decent if not exquisite my perfectly though I did a lot of research on G and t see anyone better than this All in all a great handset
Good phone,phone
Happy with,Over all satisfactory
Excellent Product,very happy with this phone premium metallic design fast performance decent photography battery that over a day after average usage that is what I look for at this price Price I never regret
Good,some heating
Great phone for great price,When i read disastrous about i was in a bit tension as we had already money but after getting the product i could say fraud their boxing was also very nice
Value for money,This product is very fine good performance
,this is the fantastic phone which i sometimes it is heat but that is not matter for the phone superb charging speed And good battery backup Camera is Nice Ram is which i like i guess for you this is the awesome phone for You the company a type c to connector so you can use your in this phone i Grey colour phone it is very Royal look Finally I am telling it is an awesome phone and you should buy if you are looking a phone
Screen review,Screen automatically to blink
Good product,Good product and fast delivery by
Battery back,Battery backup is very bad
,Good and
Wonderful delivery option even to remote place,Nice product
phone,good phone battery backup poor
Good Phone,Good Phone nice
Perfect phone at an affordable price,among the lot best Display
mobile but not than note,Not better than note
Excellent Product,Delivery before time
